Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_link,-0.0111313542143779,0.000409095836428897,0.0829766913878993,0,0,0,2.4264581549556,0.00751012663604818,-1.55689816579725E-05,0.000225094060353391,0.00707590191197592,6.28847223157289E-05,0.00683414727483654,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/BASE_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/BASE_link.STL,,LEG-D-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LEG_C_Link,0.012529,-0.015169,0.098917,0,0,0,1.3906,0.0052028,0.00020228,-0.00052692,0.0051586,0.00017701,0.0030384,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/LEG_C_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/LEG_C_Link.STL,,LEG-C-1,or_LEG-C,link-1_LEG-C,joint_1_LEG_C,revolute,0.000500001118696994,3.94863260000378E-05,0.088267949192,0,0,0,BASE_link,1,0,0,50,5,0,1.5708,,,,,,,,
LEG_A_Link,-0.00322404827079422,5.72102191875867E-05,-0.19504996410188,0,0,0,1.16238536563379,0.00752379849628237,8.01454162281565E-07,0.000327221691680512,0.00769712572878199,-2.12122291939544E-06,0.00254590827872452,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/LEG_A_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/LEG_A_Link.STL,,LEG-A-1,or_LEG-A,joint-2_LEG-A,joint_2_LEG_A,prismatic,-0.00069299,-0.019882,0.75448,0,0,0,LEG_C_Link,0,0,1,40,2,-0.24,0,,,,,,,,
BODY_A1_1_Link,-0.00222489530365861,0.0122245599822286,-0.00451054982894994,0,0,0,2.32685853908437,0.00491810815909088,9.05344034090241E-06,-3.86564101589557E-07,0.00703468514789518,-3.33027603174717E-06,0.00528060631506608,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/BODY_A1_1_Link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/BODY_A1_1_Link.STL,,BODY-A1_1-1,or_BODY-A1_1,joint-3_BODY-A1_1,joint_3_BODY_A1_1,revolute,-2.16185809188091E-05,0,-0.00480238878585015,0,0,0,LEG_A_Link,0,0,-1,40,16,-3.14,3.14,,,,,,,,
HAED_B_Link,0.0217375835841759,0.00724192417704433,0.053095883548357,0,0,0,0.0760457241164291,2.6724587385221E-05,-4.16128827745498E-07,-2.73345325421118E-06,2.56133200484202E-05,-4.10513964043728E-06,1.90953800245187E-05,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/HAED_B_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/HAED_B_Link.STL,,HAED-B-1,or_HAED-B,joint-4_HAED-B,joint_4_HAED_B,revolute,2.16179450283669E-05,0.00171381616556782,0.0607535887629951,0,0,0,BODY_A1_1_Link,0,0,-1,10,16,-3.14,3.14,,,,,,,,
HAED_As_Link,-0.0241322703258799,0.0130056700694588,0.0450252303208141,0,0,0,0.451420785654223,0.000796355294915092,2.29550397973488E-05,-1.75311084548572E-05,0.00126880058998824,1.09228550380716E-05,0.000959468437540349,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/HAED_As_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/HAED_As_Link.STL,,HAED-As-1,or_HAED-As,joint-5_HAED-As,joint_5_HAED_As,revolute,0.0247999913495787,0.000204577058025346,0.0770301529318649,0,0,0,HAED_B_Link,-1,0,0,10,16,-0.523,0.523,,,,,,,,
ARM_LEFT_A_Link,0.0547043437922452,0.000266003521787211,3.56629471294223E-05,0,0,0,0.431302266621769,0.000334299654145244,5.19061415421028E-07,-1.11488791288463E-08,0.000445404068078631,-1.13958890300355E-09,0.000314518993761918,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_A_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_A_Link.STL,,ARM-LEFT-A-1,or_ARM-LEFT-A,joint-6_ARM-LEFT-A,joint_6_ARM_LEFT_A,revolute,0.130521613937763,0.0378945845208191,-0.00399999999971978,0,0,0,BODY_A1_1_Link,-1,0,0,40,16.75,-1.49,3.49,,,,,,,,
ARM_LEFT_B_Link,-0.000369050666552712,-0.0099784571733538,-0.0396363685860948,0,0,0,0.113813653883565,9.21749063546581E-05,1.82464321371983E-08,-4.81679402763407E-08,0.000138588140775212,-9.23844166137569E-06,7.64900245949834E-05,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_B_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_B_Link.STL,,ARM-LEFT-B-1,or_ARM-LEFT-B,joint-7_ARM-LEFT-B,joint_7_ARM_LEFT_B,revolute,0.06,0.0301,0,0,0,0,ARM_LEFT_A_Link,0,-1,0,40,16.75,-0.17,3.32,,,,,,,,
ARM_LEFT_C_Link,0.00506593436639896,-0.0161873145274493,-0.125015023292294,0,0,0,0.408660316807001,0.000796482212289211,6.4885673775293E-07,-5.79547763807043E-06,0.000753742647874056,-1.17000494157217E-05,0.000243282739740689,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_C_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_C_Link.STL,,ARM-LEFT-C-1,or_ARM-LEFT-C,joint-8_ARM-LEFT-C,joint_8_ARM_LEFT_C,revolute,0,-0.0301,-0.0800000000000004,0,0,0,ARM_LEFT_B_Link,0,0,1,27,5.445,-1.57,1.57,,,,,,,,
ARM_LEFT_D_Link,-0.000964346431974489,0.0371382149167537,-0.0652006940023269,0,0,0,0.263146760897375,0.00040841601737922,-1.08286901247763E-06,4.96706745343801E-07,0.000300044013557352,5.75459337007845E-05,0.000208460891831576,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_D_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HUMAN-ASSY_URFD_ver.3/meshes/ARM_LEFT_D_Link.STL,,ARM-LEFT-D-1,or_ARM-LEFT-D,joint-9_ARM-LEFT-D,joint_9_ARM_LEFT_D,revolute,-5.00000000000222E-05,-0.043503623061,-0.225385906696,0,0,0,ARM_LEFT_C_Link,-1,0,0,27,5.445,0,3.14,,,,,,,,
